symbol,roe_change,tagrt_change,workcap_change,eps_change
SHSE.601618_2018q4,1.8973,-1.4975,-5699354624,0.08
SZSE.002252_2018q4,1.6085,-2.4156,-85937152,-0.05
SHSE.601577_2018q4,-2.1897,1.2392,0,0.21
SHSE.601628_2018q4,-4.6804,-0.3223,0,-0.3
SZSE.002304_2018q4,-4.5166,-2.9198,2837651456,0.715
SHSE.601633_2018q4,-0.1802,-6.9876,-806821888,0.1403
SZSE.002311_2018q4,-3.9607,13.1446,664097536,0.08
SZSE.002271_2018q4,0.123,3.0321,-375688960,0.6
SZSE.002294_2018q4,-1.7457,-1.9681,281180416,0.29
SHSE.601668_2018q4,0.6093,4.7466,-4013817856,0.25
SHSE.601669_2018q4,-0.6557,5.7498,-42387506176,0.1075
SZSE.002352_2018q4,1.3685,-3.7399,-815190528,0.34
SHSE.601727_2018q4,0.2016,7.9763,-4408940544,0.0576
SZSE.002410_2018q4,1.3438,-3.7375,32017536,0.1308
SZSE.002411_2018q4,-4.2872,-15.9096,-1821989248,-0.1296
SHSE.601688_2018q4,-0.8938,-21.4659,0,0.05
SZSE.002415_2018q4,2.4402,-2.973,3578042368,0.791
SHSE.601800_2018q4,1.4021,-5.2441,-14450554880,0.41
SZSE.002422_2018q4,-1.287,-11.6343,701933568,0.14
SHSE.601698_2018q4,0,0,0,0
SHSE.601808_2018q4,1.2785,8.7982,-1816959488,0.0748
SHSE.601766_2018q4,0.8861,7.5915,-7155412992,0.13
SHSE.601818_2018q4,-1.3826,1.7621,0,0.11
SHSE.601828_2018q4,-2.6731,0.5339,1745567744,0.11
SZSE.002460_2018q4,-9.1719,-12.2888,2388076416,0.06
SZSE.002456_2018q4,-24.6196,0.028,-2918740544,-0.4702
SZSE.002508_2018q4,1.1887,-2.332,442448896,0.48
SHSE.601838_2018q4,0.0505,-8.5345,0,0.35
SHSE.601788_2018q4,-3.0074,-9.258,0,-0.2376
SZSE.002466_2018q4,-0.469,-6.0088,-3634201824,0.45
SHSE.601901_2018q4,0.1504,17.2989,0,0.02
SZSE.002468_2018q4,-2.144,4.7716,-535702272,0.29
SZSE.002475_2018q4,2.9767,-2.1777,1117774848,0.4
SHSE.601857_2018q4,-0.9759,-0.6439,-69268996096,0.027
SZSE.001979_2018q4,5.3146,-9.506,-2513731584,1.01
SZSE.002493_2018q4,-4.4447,6.52,-15684162560,-0.03
SHSE.601919_2018q4,0.2986,12.0701,2997987328,0.04
SZSE.002601_2018q4,-1.4762,-4.4946,-1377862912,0.48
SHSE.601881_2018q4,0.5904,16.5293,0,0.1
SZSE.002602_2018q4,-26.3387,-143.4284,2434364416,-0.19
SHSE.601877_2018q4,-0.9647,-2.816,187254784,0.38
SHSE.601878_2018q4,-0.1033,0.9838,0,0.05
SHSE.601933_2018q4,0.5169,-1.3156,-587026432,0.04
SZSE.002555_2018q4,-9.0225,-0.6468,722627072,-0.1
SZSE.002607_2018q4,9.1541,64.5795,-995065728,0.17
SZSE.002558_2018q4,-2.6897,-10.5147,-1019669504,0.04
SHSE.601888_2018q4,-3.687,1.8209,-915279872,0.1995
SHSE.601939_2018q4,-1.9573,-0.2054,0,0.14
SZSE.002624_2018q4,-1.0206,1.5132,529165824,0.3
SHSE.601898_2018q4,-2.2718,-0.8516,-5572966912,-0.05
SHSE.601899_2018q4,-1.1088,-10.7988,-2179859456,0.034
SZSE.002594_2018q4,1.4251,2.4378,3511865856,0.44
SHSE.603019_2018q4,5.5307,-0.1643,-245980416,0.4
SHSE.601985_2018q4,-0.8384,5.7803,-4614434560,0.0573
SHSE.601992_2018q4,-2.0756,8.9807,-10720706560,0.02
SZSE.002714_2018q4,0.5296,5.0326,-1596488448,0.21
SHSE.601988_2018q4,-1.8366,0.9949,0,0.09
SHSE.601989_2018q4,-1.6419,-1.4916,5672873984,-0.034
SZSE.002673_2018q4,-1.4637,-1.9371,0,-0.0428
SHSE.601997_2018q4,-0.0218,-0.3157,0,0.61
SHSE.601998_2018q4,-1.4005,-0.0702,0,0.16
SZSE.002736_2018q4,1.7794,11.6443,0,0.17
SZSE.002739_2018q4,-12.7722,-16.5001,3626765888,0.0151
SZSE.002773_2018q4,0.1249,0.7451,17036800,0.5754
SHSE.603160_2018q4,7.6985,18.2493,141432832,0.95
SHSE.603156_2018q4,4.0075,-0.2063,1001533440,1.4616
SZSE.002841_2018q4,-5.6273,-4.5507,-89372800,0.24
SZSE.002916_2018q4,1.3194,7.0418,-83772160,1.49
SHSE.603260_2018q4,-4.8172,-12.1384,-114289344,2.03
SHSE.603259_2018q4,-11.5919,1.9073,5969520128,0.29
SZSE.002938_2018q4,3.9574,-20.4681,885643264,0.55
SZSE.002939_2018q4,-0.6127,3.3951,0,0.04
SZSE.002945_2018q4,0,0,0,0
SZSE.002958_2018q4,0,0,0,0
SHSE.603288_2018q4,-0.2228,-0.4043,1342866432,0.46
SZSE.000001_2018q4,-1.3127,1.7742,0,0.25
SZSE.000002_2018q4,9.7412,-27.7635,4886085632,1.793
SZSE.000100_2018q4,0.3821,1.5703,571368448,0.0724
SHSE.603501_2018q4,-18.2768,-250.6463,3652618560,-0.02
SZSE.000063_2018q4,10.0013,1.8471,-2841505280,0.06
SHSE.600000_2018q4,-0.6765,0.6344,0,0.41
SZSE.000069_2018q4,6.2437,-13.0532,-15345410048,0.6702
SHSE.600004_2018q4,-0.6006,-3.4198,-3723930112,0.11
SHSE.600010_2018q4,0.458,-13.2177,2668519424,0.0225
SHSE.600011_2018q4,-1.7518,-2.0421,-756801536,-0.05
SHSE.600009_2018q4,-0.1623,0.6735,538084352,0.57
SHSE.600015_2018q4,-0.4437,7.7317,0,0.49
SHSE.600016_2018q4,-1.8566,-0.2705,0,0.17
SHSE.600023_2018q4,-1.5546,-3.8803,-356977152,0.02
SHSE.600018_2018q4,4.4036,-1.7915,-3587037184,0.2229
SHSE.600019_2018q4,0.1194,4.3916,6314818560,0.26
SHSE.600025_2018q4,6.4006,-3.4594,-1600524288,0.2
SHSE.600030_2018q4,-0.247,-9.4951,0,0.17
SHSE.600031_2018q4,-1.9031,-0.2619,-865564672,0.1577
SHSE.600027_2018q4,-0.8708,1.046,-9832140800,0.002
SHSE.600028_2018q4,-2.3057,3.6997,-52343000064,0.026
SHSE.600029_2018q4,-4.4086,-0.6139,-5869998080,-0.12
SZSE.000157_2018q4,0.7028,5.5284,-4695742464,0.09
SHSE.600036_2018q4,-2.2406,-0.686,0,0.47
SHSE.600038_2018q4,1.261,3.5111,242816000,0.359
SZSE.000166_2018q4,-0.4254,17.072,0,0.04
SHSE.600100_2018q4,-17.126,-5.1051,-1530073344,-1.1159
SHSE.600050_2018q4,-0.4065,-0.9322,-13869891584,0.0472
SHSE.600048_2018q4,5.2229,6.9841,-24634523648,0.78
SHSE.600104_2018q4,-0.5151,-7.3437,-169893888,0.713
