id,label,roe_change,tagrt_change,workcap_change,eps_change
SHSE.600183_201910,0,-0.3706,2.6777,104324096,0.18
SHSE.600183_201911,0,-0.3706,2.6777,104324096,0.18
SHSE.600183_201912,0,-0.3706,2.6777,104324096,0.18
SHSE.600183_202001,0,0.1252,4.9886,-303592704,0.18
SHSE.600183_202002,0,0.1252,4.9886,-303592704,0.18
SHSE.600183_202003,0,0.1252,4.9886,-303592704,0.18
SHSE.600233_201901,0,1.8402,-7.2888,3254143488,0.2304
SHSE.600233_201902,0,1.8402,-7.2888,3254143488,0.2304
SHSE.600233_201903,0,1.8402,-7.2888,3254143488,0.2304
SHSE.600233_201904,0,-5.7436,-16.7969,-11303936,-0.5452
SHSE.600233_201905,0,-5.7436,-16.7969,-11303936,-0.5452
SHSE.600233_201906,0,-5.7436,-16.7969,-11303936,-0.5452
SHSE.600233_201907,0,2.2993,-5.0145,-930162176,0.1761
SHSE.600233_201908,0,2.2993,-5.0145,-930162176,0.1761
SHSE.600233_201909,0,2.2993,-5.0145,-930162176,0.1761
SHSE.600233_201910,0,0.5523,0.4337,197668352,0.1823
SHSE.600233_201911,0,0.5523,0.4337,197668352,0.1823
SHSE.600233_201912,0,0.5523,0.4337,197668352,0.1823
SHSE.600233_202001,0,0.5523,0.4337,197668352,0.1823
SHSE.600233_202002,0,0.5523,0.4337,197668352,0.1823
SHSE.600233_202003,0,0.5523,0.4337,197668352,0.1823
SZSE.000413_201901,0,1.2176,-44.9504,-4284229632,0.15
SZSE.000413_201902,0,1.2176,-44.9504,-4284229632,0.15
SZSE.000413_201903,0,1.2176,-44.9504,-4284229632,0.15
SZSE.000413_201904,0,-1.5516,-81.4913,396986368,-0.3048
SZSE.000413_201905,0,-1.5516,-81.4913,396986368,-0.3048
SZSE.000413_201906,0,-1.5516,-81.4913,396986368,-0.3048
SZSE.000413_201907,0,-0.1129,-5.6521,-999809024,0.0748
SZSE.000413_201908,0,-0.1129,-5.6521,-999809024,0.0748
SZSE.000413_201909,0,-0.1129,-5.6521,-999809024,0.0748
SZSE.000413_201910,0,-0.555,-3.3571,-197877760,0.05
SZSE.000413_201911,0,-0.555,-3.3571,-197877760,0.05
SZSE.000413_201912,0,-0.555,-3.3571,-197877760,0.05
SZSE.000413_202001,0,-0.555,-3.3571,-197877760,0.05
SZSE.000413_202002,0,-0.555,-3.3571,-197877760,0.05
SZSE.000413_202003,0,-0.555,-3.3571,-197877760,0.05
SHSE.600188_201901,0,0.9653,8.0002,2440231936,0.4896
SHSE.600188_201902,0,0.9653,8.0002,2440231936,0.4896
SHSE.600188_201903,0,0.9653,8.0002,2440231936,0.4896
SHSE.600188_201904,0,1.3489,41.415,2992854016,-1.1402
SHSE.600188_201905,0,1.3489,41.415,2992854016,-1.1402
SHSE.600188_201906,0,1.3489,41.415,2992854016,-1.1402
SHSE.600188_201907,0,2.6745,-10.3267,-3485049856,0.6215
SHSE.600188_201908,0,2.6745,-10.3267,-3485049856,0.6215
SHSE.600188_201909,0,2.6745,-10.3267,-3485049856,0.6215
SHSE.600188_201910,0,-3.0272,-12.5167,-1857689088,0.3304
SHSE.600188_201911,0,-3.0272,-12.5167,-1857689088,0.3304
SHSE.600188_201912,0,-3.0272,-12.5167,-1857689088,0.3304
SHSE.600188_202001,0,-3.0272,-12.5167,-1857689088,0.3304
SHSE.600188_202002,0,-3.0272,-12.5167,-1857689088,0.3304
SHSE.600188_202003,0,-3.0272,-12.5167,-1857689088,0.3304
SZSE.000415_201901,0,-2.9072,10.5926,12325007232,-0.0252
SZSE.000415_201902,0,-2.9072,10.5926,12325007232,-0.0252
SZSE.000415_201903,0,-2.9072,10.5926,12325007232,-0.0252
SZSE.000415_201904,0,7.2753,-8.3513,-3006359936,-0.1636
SZSE.000415_201905,0,7.2753,-8.3513,-3006359936,-0.1636
SZSE.000415_201906,0,7.2753,-8.3513,-3006359936,-0.1636
SZSE.000415_201907,0,-4.1681,-11.3061,1599650944,0.0871
SZSE.000415_201908,0,-4.1681,-11.3061,1599650944,0.0871
SZSE.000415_201909,0,-4.1681,-11.3061,1599650944,0.0871
SZSE.000415_201910,0,-2.3913,-5.8221,-195897984,0.0446
SZSE.000415_201911,0,-2.3913,-5.8221,-195897984,0.0446
SZSE.000415_201912,0,-2.3913,-5.8221,-195897984,0.0446
SZSE.000415_202001,0,-2.3913,-5.8221,-195897984,0.0446
SZSE.000415_202002,0,-2.3913,-5.8221,-195897984,0.0446
SZSE.000415_202003,0,-2.3913,-5.8221,-195897984,0.0446
SHSE.600196_201901,0,-0.2088,-5.5401,1171348136,0.24
SHSE.600196_201902,0,-0.2088,-5.5401,1171348136,0.24
SHSE.600196_201903,0,-0.2088,-5.5401,1171348136,0.24
SHSE.600196_201904,0,-0.1098,-16.7755,2476124248,-0.79
SHSE.600196_201905,0,-0.1098,-16.7755,2476124248,-0.79
SHSE.600196_201906,0,-0.1098,-16.7755,2476124248,-0.79
SHSE.600196_201907,0,0.6442,1.8367,-2019098656,0.31
SHSE.600196_201908,0,0.6442,1.8367,-2019098656,0.31
SHSE.600196_201909,0,0.6442,1.8367,-2019098656,0.31
SHSE.600196_201910,0,-1.3053,-2.505,3547343392,0.22
SHSE.600196_201911,0,-1.3053,-2.505,3547343392,0.22
SHSE.600196_201912,0,-1.3053,-2.505,3547343392,0.22
SHSE.600196_202001,0,-1.3053,-2.505,3547343392,0.22
SHSE.600196_202002,0,-1.3053,-2.505,3547343392,0.22
SHSE.600196_202003,0,-1.3053,-2.505,3547343392,0.22
SZSE.000423_201901,0,3.6349,1.6955,786860544,1.3147
SZSE.000423_201902,0,3.6349,1.6955,786860544,1.3147
SZSE.000423_201903,0,3.6349,1.6955,786860544,1.3147
SZSE.000423_201904,0,-6.041,-23.3663,401530368,-2.5866
SZSE.000423_201905,0,-6.041,-23.3663,401530368,-2.5866
SZSE.000423_201906,0,-6.041,-23.3663,401530368,-2.5866
SZSE.000423_201907,0,-10.1688,-12.8649,-1056422912,-0.2475
SZSE.000423_201908,0,-10.1688,-12.8649,-1056422912,-0.2475
SZSE.000423_201909,0,-10.1688,-12.8649,-1056422912,-0.2475
SZSE.000423_201910,0,-0.9684,1.2431,-187011072,-0.0334
SZSE.000423_201911,0,-0.9684,1.2431,-187011072,-0.0334
SZSE.000423_201912,0,-0.9684,1.2431,-187011072,-0.0334
SZSE.000423_202001,0,-6.7129,-24.233,-840191488,-1.0003
SZSE.000423_202002,0,-6.7129,-24.233,-840191488,-1.0003
SZSE.000423_202003,0,-6.7129,-24.233,-840191488,-1.0003
SZSE.000425_201901,0,0.0595,-5.7178,1993338880,0.066
SZSE.000425_201902,0,0.0595,-5.7178,1993338880,0.066
SZSE.000425_201903,0,0.0595,-5.7178,1993338880,0.066
SZSE.000425_201904,0,7.4851,-18.7328,707123200,-0.133
SZSE.000425_201905,0,7.4851,-18.7328,707123200,-0.133
SZSE.000425_201906,0,7.4851,-18.7328,707123200,-0.133
SZSE.000425_201907,0,1.1287,-3.5948,1011511296,0.148
SZSE.000425_201908,0,1.1287,-3.5948,1011511296,0.148
SZSE.000425_201909,0,1.1287,-3.5948,1011511296,0.148
SZSE.000425_201910,0,-2.2514,-3.2312,554022912,0.087
SZSE.000425_201911,0,-2.2514,-3.2312,554022912,0.087
SZSE.000425_201912,0,-2.2514,-3.2312,554022912,0.087
SZSE.000425_202001,0,-2.2514,-3.2312,554022912,0.087
SZSE.000425_202002,0,-2.2514,-3.2312,554022912,0.087
SZSE.000425_202003,0,-2.2514,-3.2312,554022912,0.087
SHSE.603833_201901,0,-1.0608,-0.2069,207066688,0.92
SHSE.603833_201902,0,-1.0608,-0.2069,207066688,0.92
SHSE.603833_201903,0,-1.0608,-0.2069,207066688,0.92
SHSE.603833_201904,0,-17.9636,-2.9587,-307112640,-3.55
SHSE.603833_201905,0,-17.9636,-2.9587,-307112640,-3.55
SHSE.603833_201906,0,-17.9636,-2.9587,-307112640,-3.55
SHSE.603833_201907,0,11.5435,-1.854,114841472,1.29
SHSE.603833_201908,0,11.5435,-1.854,114841472,1.29
SHSE.603833_201909,0,11.5435,-1.854,114841472,1.29
SHSE.603833_201910,0,6.1239,2.6115,2160830080,1.77
SHSE.603833_201911,0,6.1239,2.6115,2160830080,1.77
SHSE.603833_201912,0,6.1239,2.6115,2160830080,1.77
SHSE.603833_202001,0,6.1239,2.6115,2160830080,1.77
SHSE.603833_202002,0,6.1239,2.6115,2160830080,1.77
SHSE.603833_202003,0,6.1239,2.6115,2160830080,1.77
SHSE.600309_201901,0,-13.2008,-5.2319,-6161096960,0.58
SHSE.600309_201902,0,-13.2008,-5.2319,-6161096960,0.58
SHSE.600309_201903,0,-13.2008,-5.2319,-6161096960,0.58
SHSE.600309_201904,0,-4.1791,-22.416,-1209758720,-2.99
SHSE.600309_201905,0,-4.1791,-22.416,-1209758720,-2.99
SHSE.600309_201906,0,-4.1791,-22.416,-1209758720,-2.99
SHSE.600309_201907,0,1.2828,-7.0454,-8487994368,0.9
SHSE.600309_201908,0,1.2828,-7.0454,-8487994368,0.9
SHSE.600309_201909,0,1.2828,-7.0454,-8487994368,0.9
SHSE.600309_201910,0,-2.7153,2.8659,-882708480,0.73
SHSE.600309_201911,0,-2.7153,2.8659,-882708480,0.73
SHSE.600309_201912,0,-2.7153,2.8659,-882708480,0.73
SHSE.600309_202001,0,-2.7153,2.8659,-882708480,0.73
SHSE.600309_202002,0,-2.7153,2.8659,-882708480,0.73
SHSE.600309_202003,0,-2.7153,2.8659,-882708480,0.73
SHSE.600271_201901,0,4.2518,-18.8448,443614208,0.4125
SHSE.600271_201902,0,4.2518,-18.8448,443614208,0.4125
SHSE.600271_201903,0,4.2518,-18.8448,443614208,0.4125
SHSE.600271_201904,0,2.9498,3.9296,684868608,-0.5925
SHSE.600271_201905,0,2.9498,3.9296,684868608,-0.5925
SHSE.600271_201906,0,2.9498,3.9296,684868608,-0.5925
SHSE.600271_201907,0,-5.9618,-21.3485,-1242808320,0.0857
SHSE.600271_201908,0,-5.9618,-21.3485,-1242808320,0.0857
SHSE.600271_201909,0,-5.9618,-21.3485,-1242808320,0.0857
SHSE.600271_201910,0,1.221,6.3853,622494720,0.2443
SHSE.600271_201911,0,1.221,6.3853,622494720,0.2443
SHSE.600271_201912,0,1.221,6.3853,622494720,0.2443
SHSE.600271_202001,0,1.221,6.3853,622494720,0.2443
SHSE.600271_202002,0,1.221,6.3853,622494720,0.2443
SHSE.600271_202003,0,1.221,6.3853,622494720,0.2443
SHSE.600276_201901,0,0.278,2.1223,691783680,0.31
SHSE.600276_201902,0,0.278,2.1223,691783680,0.31
SHSE.600276_201903,0,0.278,2.1223,691783680,0.31
SHSE.600276_201904,0,0.5925,2.8791,772727808,-0.83
SHSE.600276_201905,0,0.5925,2.8791,772727808,-0.83
SHSE.600276_201906,0,0.5925,2.8791,772727808,-0.83
SHSE.600276_201907,0,-0.5065,0.4216,1233338368,0.2728
SHSE.600276_201908,0,-0.5065,0.4216,1233338368,0.2728
SHSE.600276_201909,0,-0.5065,0.4216,1233338368,0.2728
SHSE.600276_201910,0,-0.0283,6.8166,1367605248,0.2972
